Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 0, 0, 0.1, 0.1, 5, 0.1, 0.858, 0.758, 10000, 0, 0.858, 0.958, 0.1, 5,     0.958,
 1, 0, 0.4, 0.4, 0.4, 0, 5, 0.4, 1.104, 0.704, 10000, 0, 1.104, 1.204, 0.1, 5,     0.804,
 2, 0, 0.4, 0.4, 0.5, 0.1, 5, 0.5, 1.308, 0.808, 10000, 0, 1.308, 1.418, 0.11, 5,     1.018,
 3, 0, 0.4, 0.4, 0.604, 0.204, 5, 0.604, 1.708, 1.104, 10000, 0, 1.708, 1.818, 0.11, 5,     1.418,
 4, 0, 0.4, 0.4, 0.714, 0.314, 5, 0.714, 1.912, 1.198, 10000, 0, 1.912, 1.912, 0, 5,     1.512,
 5, 0, 0.8, 0.8, 0.8, 0, 5, 0.8, 2.162, 1.362, 10000, 0, 2.162, 2.162, 0, 5,     1.362,
 6, 0, 1.2, 1.2, 1.2, 0, 5, 1.2, 2.412, 1.212, 10000, 0, 2.412, 2.412, 0, 5,     1.212,
 7, 0, 1.5, 1.5, 1.5, 0, 5, 1.5, 2.714, 1.214, 10000, 0, 2.714, 2.824, 0.11, 5,     1.324,
 8, 0, 1.5, 1.5, 1.6, 0.1, 5, 1.6, 3.114, 1.514, 10000, 0, 3.114, 3.214, 0.1, 5,     1.714,
 9, 0, 1.5, 1.5, 1.708, 0.208, 5, 1.708, 3.314, 1.606, 10000, 0, 3.314, 3.424, 0.11, 5,     1.924,
 10, 0, 1.5, 1.5, 1.8, 0.3, 5, 1.8, 3.714, 1.914, 10000, 0, 3.714, 3.714, 0, 5,     2.214,
 11, 0, 1.8, 1.8, 1.818, 0.018, 5, 1.818, 3.928, 2.11, 10000, 0, 3.928, 4.038, 0.11, 5,     2.238,
 12, 0, 2.1, 2.1, 2.208, 0.108, 5, 2.208, 4.242, 2.034, 10000, 0, 4.242, 4.352, 0.11, 5,     2.252,
 13, 0, 2.4, 2.4, 2.51, 0.11, 5, 2.51, 4.556, 2.046, 10000, 0, 4.556, 4.666, 0.11, 5,     2.266,
 14, 0, 2.4, 2.4, 2.612, 0.212, 5, 2.612, 4.87, 2.258, 10000, 0, 4.87, 4.87, 0, 5,     2.470,
 15, 0, 2.7, 2.7, 2.7, 0, 5, 2.7, 5.12, 2.42, 10000, 0, 5.12, 5.23, 0.11, 5,     2.530,
 16, 0, 3, 3, 3.11, 0.11, 5, 3.11, 5.434, 2.324, 10000, 0, 5.434, 5.544, 0.11, 5,     2.544,
 17, 0, 3.5, 3.5, 3.5, 0, 5, 3.5, 5.748, 2.248, 10000, 0, 5.748, 6.204, 0.456, 5,     2.704,
 21, 0, 6.4, 6.4, 6.5, 0.1, 5, 6.5, 7.066, 0.566, 10000, 0, 7.066, 7.066, 0, 5,     0.666,
 23, 0, 6.6, 6.6, 6.614, 0.014, 5, 6.614, 7.414, 0.8, 10000, 0, 7.414, 7.524, 0.11, 5,     0.924,
 25, 0, 6.8, 6.8, 6.8, 0, 5, 6.8, 7.704, 0.904, 10000, 0, 7.704, 7.814, 0.11, 5,     1.014,
