Data center infrastructure (Physical Topology) : project-acn/resources/sfc.physical.fattree.json
Virtual Machine and Network requests (Virtual Topology) : project-acn/resources/sfc.virtual.min.experiment3.json
Workloads in project-acn/ :
  resources/workloads/0_0_workload_wiki_mini.csv
  resources/workloads/0_1_workload_wiki_mini.csv
  resources/workloads/0_2_workload_wiki_mini.csv
  resources/workloads/0_3_workload_wiki_mini.csv
  resources/workloads/0_4_workload_wiki_mini.csv
  resources/workloads/0_5_workload_wiki_mini.csv
  resources/workloads/0_6_workload_wiki_mini.csv
  resources/workloads/0_7_workload_wiki_mini.csv
  resources/workloads/0_8_workload_wiki_mini.csv
  resources/workloads/0_9_workload_wiki_mini.csv
  resources/workloads/0_10_workload_wiki_mini.csv
  resources/workloads/0_11_workload_wiki_mini.csv
  resources/workloads/0_12_workload_wiki_mini.csv
  resources/workloads/0_13_workload_wiki_mini.csv
  resources/workloads/0_14_workload_wiki_mini.csv
  resources/workloads/0_15_workload_wiki_mini.csv
  resources/workloads/0_16_workload_wiki_mini.csv
  resources/workloads/0_17_workload_wiki_mini.csv
  resources/workloads/0_18_workload_wiki_mini.csv
  resources/workloads/0_19_workload_wiki_mini.csv
  resources/workloads/0_20_workload_wiki_mini.csv
  resources/workloads/0_21_workload_wiki_mini.csv
  resources/workloads/0_22_workload_wiki_mini.csv
  resources/workloads/0_23_workload_wiki_mini.csv
Starting CloudSim SDN...
Initialising...
5034.0: ========== EXPERIMENT FINISHED ===========
========== HOST POWER CONSUMPTION based on Actual Workload processing ===========
Host #127: 196.53793342620648
Host #126: 196.41538329430648
Host #125: 248.7425254169131
Host #124: 194.48749719639358
Host #123: 194.58934301086748
Host #122: 194.24520931133435
Host #121: 236.28872475587048
Host #120: 192.05119542441668
Host #119: 191.86660610601524
Host #118: 192.10328378565563
Host #117: 192.0799281889193
Host #116: 192.48914692060836
Host #115: 229.59783751305787
Host #114: 298.30871312384585
Host #113: 292.86771620450054
Host #112: 292.2397845273069
Host #111: 294.6508515905119
Host #110: 298.0211185483918
Host #109: 310.93052663352756
Host #108: 308.6285771583836
Host #107: 295.3812937156236
Host #106: 294.438827553643
Host #105: 290.2121002885638
Host #104: 267.0805591166795
Host #103: 262.64366407455617
Host #102: 292.454506508926
Host #101: 259.9862385065272
Host #100: 291.37781340636866
Host #99: 290.67326815300135
Host #98: 270.82317261425464
Host #97: 225.1759416078545
Host #96: 0.0
Host #95: 0.0
Host #94: 0.0
Host #93: 0.0
Host #92: 0.0
Host #91: 0.0
Host #90: 0.0
Host #89: 0.0
Host #88: 0.0
Host #87: 0.0
Host #86: 0.0
Host #85: 0.0
Host #84: 0.0
Host #83: 0.0
Host #82: 0.0
Host #81: 0.0
Host #80: 0.0
Host #79: 0.0
Host #78: 0.0
Host #77: 0.0
Host #76: 0.0
Host #75: 0.0
Host #74: 0.0
Host #73: 0.0
Host #72: 0.0
Host #71: 0.0
Host #70: 0.0
Host #69: 0.0
Host #68: 0.0
Host #67: 0.0
Host #66: 0.0
Host #65: 0.0
Host #64: 0.0
Host #63: 0.0
Host #62: 0.0
Host #61: 0.0
Host #60: 0.0
Host #59: 0.0
Host #58: 0.0
Host #57: 0.0
Host #56: 0.0
Host #55: 0.0
Host #54: 0.0
Host #53: 0.0
Host #52: 0.0
Host #51: 0.0
Host #50: 0.0
Host #49: 0.0
Host #48: 0.0
Host #47: 0.0
Host #46: 0.0
Host #45: 0.0
Host #44: 0.0
Host #43: 0.0
Host #42: 0.0
Host #41: 0.0
Host #40: 0.0
Host #39: 0.0
Host #38: 0.0
Host #37: 0.0
Host #36: 0.0
Host #35: 0.0
Host #34: 0.0
Host #33: 0.0
Host #32: 0.0
Host #31: 0.0
Host #30: 0.0
Host #29: 0.0
Host #28: 0.0
Host #27: 0.0
Host #26: 0.0
Host #25: 0.0
Host #24: 0.0
Host #23: 0.0
Host #22: 0.0
Host #21: 0.0
Host #20: 0.0
Host #19: 0.0
Host #18: 0.0
Host #17: 0.0
Host #16: 0.0
Host #15: 0.0
Host #14: 0.0
Host #13: 0.0
Host #12: 0.0
Host #11: 0.0
Host #10: 0.0
Host #9: 0.0
Host #8: 0.0
Host #7: 0.0
Host #6: 0.0
Host #5: 0.0
Host #4: 0.0
Host #3: 0.0
Host #2: 0.0
Host #1: 0.0
Host #0: 0.0
========== SWITCH POWER CONSUMPTION AND DETAILED UTILIZATION ===========
Switch:a_7_3: 104.10036891941388
Switch:e_7_3: 104.32886569152477
Switch:a_7_2: 104.254152028907
Switch:e_7_2: 104.41353244135699
Switch:a_7_1: 104.38060511461195
Switch:e_7_1: 104.34095973961813
Switch:a_7_0: 104.22612865051717
Switch:e_7_0: 103.76970350224232
Switch:a_6_3: 102.50117201713103
Switch:e_6_3: 103.9949534888868
Switch:a_6_2: 103.71822564775911
Switch:e_6_2: 102.0300350457413
Switch:a_6_1: 103.30504121031557
Switch:e_6_1: 100.9112228647602
Switch:a_6_0: 103.76745328024354
Switch:e_6_0: 98.06790681139417
Switch:a_5_3: 0.0
Switch:e_5_3: 0.0
Switch:a_5_2: 0.0
Switch:e_5_2: 0.0
Switch:a_5_1: 0.0
Switch:e_5_1: 0.0
Switch:a_5_0: 0.0
Switch:e_5_0: 0.0
Switch:a_4_3: 0.0
Switch:e_4_3: 0.0
Switch:a_4_2: 0.0
Switch:e_4_2: 0.0
Switch:a_4_1: 0.0
Switch:e_4_1: 0.0
Switch:a_4_0: 0.0
Switch:e_4_0: 0.0
Switch:a_3_3: 0.0
Switch:e_3_3: 0.0
Switch:a_3_2: 0.0
Switch:e_3_2: 0.0
Switch:a_3_1: 0.0
Switch:e_3_1: 0.0
Switch:a_3_0: 0.0
Switch:e_3_0: 0.0
Switch:a_2_3: 0.0
Switch:e_2_3: 0.0
Switch:a_2_2: 0.0
Switch:e_2_2: 0.0
Switch:a_2_1: 0.0
Switch:e_2_1: 0.0
Switch:a_2_0: 0.0
Switch:e_2_0: 0.0
Switch:a_1_3: 0.0
Switch:e_1_3: 0.0
Switch:a_1_2: 0.0
Switch:e_1_2: 0.0
Switch:a_1_1: 0.0
Switch:e_1_1: 0.0
Switch:a_1_0: 0.0
Switch:e_1_0: 0.0
Switch:a_0_3: 0.0
Switch:e_0_3: 0.0
Switch:a_0_2: 0.0
Switch:e_0_2: 0.0
Switch:a_0_1: 0.0
Switch:e_0_1: 0.0
Switch:a_0_0: 0.0
Switch:e_0_0: 0.0
Switch:c_3_3: 84.75978716564259
Switch:c_3_2: 95.18082338333966
Switch:c_3_1: 94.56069799843574
Switch:c_3_0: 94.70314264759918
Switch:c_2_3: 94.88796100834058
Switch:c_2_2: 94.3853785245432
Switch:c_2_1: 95.08395256667292
Switch:c_2_0: 95.29253010885816
Switch:c_1_3: 95.4701451897581
Switch:c_1_2: 95.4693441646201
Switch:c_1_1: 94.94312138333973
Switch:c_1_0: 95.3562172216747
Switch:c_0_3: 94.90107181078922
Switch:c_0_2: 95.30179072500637
Switch:c_0_1: 95.28882932500626
Switch:c_0_0: 94.88198410833964
========== HOST Overload percentage ===========
Overload Host #127: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #126: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #125: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #124: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #123: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #122: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #121: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #120: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #119: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #118: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #117: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #116: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #115: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #114: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #113: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #112: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #111: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #110: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #109: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #108: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #107: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #106: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #105: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #104: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #103: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #102: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #101: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #100: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #99: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #98: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #97: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #96: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #95: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #94: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #93: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #92: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #91: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #90: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #89: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #88: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #87: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #86: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #85: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #84: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #83: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #82: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #81: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #80: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #79: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #78: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #77: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #76: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #75: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #74: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #73: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #72: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #71: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #70: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #69: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #68: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #67: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #66: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #65: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #64: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #63: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #62: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #61: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #60: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #59: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #58: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #57: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #56: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #55: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #54: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #53: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #52: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #51: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #50: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #49: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #48: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #47: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #46: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #45: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #44: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #43: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #42: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #41: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #40: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #39: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #38: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #37: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #36: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #35: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #34: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #33: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #32: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #31: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #30: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #29: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #28: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #27: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #26: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #25: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #24: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #23: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #22: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #21: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #20: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #19: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #18: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #17: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #16: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #15: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #14: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #13: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #12: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #11: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #10: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #9: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #8: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #7: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #6: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #5: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #4: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #3: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #2: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #1: 0.0/0.0=0.0... Scaled Overload duration= 0.0
Overload Host #0: 0.0/0.0=0.0... Scaled Overload duration= 0.0
========== VM Overload percentage ===========
Vm(VM #33 (db0-0) in (h_7_3_3)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #0 (app0-22) in (h_7_3_3)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #35 (db0-1) in (h_7_3_2)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #3 (app0-15) in (h_7_3_2)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #2 (web0-4) in (h_7_3_1)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #1 (fw0) in (h_7_3_1)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #4 (web0-1) in (h_7_3_0)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #5 (web0-0) in (h_7_3_0)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #7 (web0-6) in (h_7_2_3)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #25 (web0-3) in (h_7_2_3)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #26 (web0-2) in (h_7_2_2)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #32 (web0-7) in (h_7_2_2)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #34 (web0-5) in (h_7_2_1)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #31 (lb20) in (h_7_2_1)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #8 (ids0) in (h_7_2_1)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #6 (app0-2) in (h_7_2_0)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
Vm(VM #9 (app0-21) in (h_7_2_0)): 0.0/0.0=0.0... Scaled Overload duration= 0.0
